=== RUN   TestGetSafeCodePreamble
50;0;68;82
82;0;30;52
52;1;48;0
0;0;5;95
95;1;60;55
55;0;55;0
0;0;1;99
99;0;99;0
0;1;14;14
14;0;82;32
--- PASS: TestGetSafeCodePreamble (0.00s)
=== RUN   TestGetSafeCode
50;0;37;13
13;0;16;97
97;0;20;77
77;0;18;59
59;1;30;89
89;1;11;0
0;1;47;47
47;1;38;85
85;0;49;36
36;1;22;58
58;1;23;81
81;0;43;38
38;1;47;85
85;0;40;45
45;1;20;65
65;0;42;23
23;0;17;6
6;1;38;44
44;1;30;74
74;0;36;38
38;1;11;49
49;0;8;41
41;0;42;99
99;1;45;44
44;0;34;10
10;1;46;56
56;0;16;40
40;0;30;10
10;1;48;58
58;1;38;96
96;1;26;22
22;0;20;2
2;0;9;93
93;0;28;65
65;0;29;36
36;1;16;52
52;1;31;83
83;1;23;6
6;1;38;44
44;1;43;87
87;1;47;34
34;1;49;83
83;0;19;64
64;1;29;93
93;0;50;43
43;1;14;57
57;0;44;13
13;0;24;89
89;1;33;22
22;0;99;23
23;1;99;22
22;0;26;96
96;1;25;21
21;0;46;75
75;0;75;0
0;1;14;14
14;0;85;29
29;0;3;26
26;1;44;70
70;1;83;53
53;1;94;47
47;1;80;27
27;1;35;62
62;1;67;29
29;1;71;0
0;1;6;6
6;0;5;1
1;1;60;61
61;1;98;59
59;0;59;0
0;1;64;64
64;1;36;0
0;0;34;66
66;1;43;9
9;0;94;15
15;0;65;50
50;1;50;0
0;1;31;31
31;0;31;0
0;0;20;80
80;1;20;0
0;1;85;85
85;0;13;72
72;1;96;68
68;1;38;6
6;1;75;81
81;1;65;46
46;1;24;70
70;0;69;1
1;1;99;0
0;0;4;96
96;0;45;51
51;0;37;14
14;1;2;16
16;0;69;47
47;0;47;0
0;0;72;28
28;1;45;73
73;1;13;86
86;0;86;0
0;0;24;76
76;0;76;0
0;0;19;81
81;1;14;95
95;0;53;42
42;1;20;62
62;0;9;53
53;0;95;58
58;1;77;35
35;0;69;66
66;1;44;10
10;0;10;0
0;0;90;10
10;1;90;0
